"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"contains_primed_enhancers",1,0.806983739835319,1,0.00815893296078846,1,1,0.00458752703154479,0.354650615532459,1,1.06995981888784e-15,1,0.806983739835319,1,0.0116556185154121,1,1,0.00573440878943099,0.39405623948051,1,1.78326636481307e-15,0,0.244325122662525,0,2.64591835838093,0,0,2.83525650804915,0.925646695408197,0,8.03087617934455
"contains_active_enhancers",1,3.50433405934443e-12,1.14002090897965e-06,1,2.30785459521491e-144,1,1,0.000303691925711996,0.691080083824543,1,1,8.76083514836107e-12,2.28004181795931e-06,1,4.61570919042982e-144,1,1,0.000759229814279991,0.863850104780679,1,0,6.96393433377466,4.86861036123065,0,25.9830962813146,0,0,3.61332308111337,0.397400549073301,0
"contains_repressed_enhancers",1,0.00135751053169941,1,2.21896320765727e-06,1,1,0.000681341543735305,0.00243411114742654,1,1.41813698602376e-11,1,0.00193930075957059,1,1.10948160382864e-05,1,1,0.00113556923955884,0.00347730163918077,1,2.02590998003395e-11,0,3.20438414409973,0,4.73498880258271,0,0,3.39798047340318,3.0321402268351,0,6.76345328197488
"contains_primed_enhancers_2nd_and_3rd_trimester",1,0.157135986775553,0.5889586108995,0.000210477706069865,1,1,0.00145523031947103,0.0018986231206751,1,1.54777205822363e-06,1,0.196419983469441,0.736198263624374,0.000526194265174663,1,1,0.00207890045638719,0.00316437186779183,1,1.93471507277953e-06,0,1.41486965351919,0.54036215961673,3.70738077872167,0,0,3.18429954698116,3.10642552359231,0,4.80768809932272
"contains_active_enhancers_2nd_and_3rd_trimester",1,2.37759367438556e-30,1.25524891381063e-15,1,0,1,1,1.07817440089768e-08,1,1,1,1.18879683719278e-29,6.27624456905315e-15,1,0,1,1,1.07817440089768e-07,1,1,0,11.4846722195522,8.01114176396963,0,41.2371749950187,0,0,5.72247994665193,0,0
"contains_repressed_enhancers_2nd_and_3rd_trimester",1,1.69601042237517e-10,0.765037356706337,4.73995973429499e-08,1,1,0.0226712110666773,0.001172368922714,1,2.03961009906939e-05,1,3.39202084475034e-10,0.850041507451485,4.73995973429499e-07,1,1,0.0251902345185303,0.00234473784542799,1,2.03961009906939e-05,0,6.3928895141781,0.298880116779459,5.46475690469922,0,0,2.27926201268846,3.24639852205724,0,4.26242828659838
"is_exon_Signac",1,7.38159014098102e-39,1.22451662274057e-27,1,0,1,1,7.82018041642261e-08,1,1,1,7.38159014098102e-38,1.22451662274057e-26,1,0,1,1,3.91009020821131e-07,1,1,0,13.0911588691154,10.9252058474476,0,72.0667721837418,0,0,5.37499923489352,0,0
"is_intergenic_Signac",7.00511202647761e-133,1,1,0.00313123460516406,1,3.01626407399005e-07,5.28722107343359e-05,1,0.238750964687179,4.22439481202146e-34,2.3350373421592e-132,1,1,0.00626246921032812,1,7.54066018497511e-07,0.00013218052683584,1,0.540446464110357,8.44878962404292e-34,24.8819942467477,0,0,2.95522761172658,0,5.12570882093025,4.04420180080795,0,1.17818061139909,12.2178151320285
"is_intron_Signac",1.58211204651715e-156,1,1,0.00510898760166266,1,4.450910495061e-08,0.000233904266409735,1,0.969892630674945,4.44139656065483e-43,7.91056023258574e-156,1,1,0.00851497933610443,1,1.483636831687e-07,0.000467808532819469,1,0.969892630674945,1.11034914016371e-42,27.1065668828381,0,0,2.80066227211013,0,5.4759392319328,3.68052543840055,0,0.0377438389525433,13.8216796228842
"is_promoter_Signac",8.67051163725903e-07,1,1,1,1,0.49308830829306,1,0.695678411341828,1,5.90779251060718e-06,1.23864451960843e-06,1,1,1,1,0.49308830829306,1,0.695678411341828,1,6.56421390067464e-06,4.92255174749106,0,0,0,0,0.685428804348763,0,0.391171359009026,0,4.53195429359996
